Variable,MTI_member,MTI_nonmember,GETI_member,GETI_nonmember,Welf_member,Welf_nonmember
rta,1.5314399832283305,0.7871097974890795,1.5690854436509118,0.9124697634814594,0.9143648434575111,1.017807760484991
lang,1.1692047969111026,0.9512557571473725,1.335589953816457,0.9861727233497711,0.9442316546812538,1.0028158158755112
colony,2.2270600947401884,0.9960311477240795,2.2903588029365634,0.9976647942169415,0.8480254966654335,1.0004532982730598
home,156.02343263951803,,2.5816486021792855,,0.828155523665363,
